Camera Name,Latitude,Longitude,District,Stopped Vehicle,Congestion,Low Visibility,Slow Speeds,Pedestrian,Wrong Way,Number of times speeds less than 25 mph,Number of times speeds greater than 90 mph,Number times camera moved,Start Date,End Date
I-85 NB(100.1) S OF CENTER WAY - N1C101,33.919563,-84.19381,,268,69,0,202,0,10,224,0,21,20200101,20200930
I-85 NB (101.1) AT INDIAN TRAIL - N2C104-AID,0,0,,133,2,0,50,0,3,22,0,14,20200101,20200930
GDOT-CAM-371 I-20 WB MP 66.33,0,0,,462,23,0,4,0,2,1,33,1130,20200101,20200930
I-85 NB(101.21) N OF INDIAN TRAIL - N2C105-AID,0,0,,40,0,0,16,0,1,7,0,7,20200101,20200930
I-85 SB(101.31) N OF INDIAN TRAIL - N3C105-AID,0,0,,19,5,0,8,0,1,2,4176,11,20200101,20200930
I-85 NB(103.0)AT BEAVER RUIN - N1C106-AID,0,0,,30,11,0,12,0,22,6,0,16,20200101,20200930
I-85 NB(103.11) AT BEAVER RUIN - N2C106-AID,0,0,,79,1,0,12,0,5,6,0,17,20200101,20200930
I-85 NB(103.12)  AT BEAVER RUIN N1C107-AID,0,0,,6,1,0,7,0,1,5,3814,61,20200101,20200930
I-85 SB(103.2) S OF STEVE REYNOLDS - N2C107-AID,0,0,,6,0,0,0,0,4,0,576,18,20200101,20200930
I-85NB(103.23) SOUTH OF STEVE REYNOLDS N1C108-AID,0,0,,28,6,0,20,0,24,14,0,15,20200101,20200930
I-85 NB(103.21) SOUTH OF STEVE REYNOLDS N2C108-AID,0,0,,0,0,0,0,0,0,0,0,13874,20200101,20200930
I-85 SB(100.2) S OF CENTER WAY - S1C101,33.919993,-84.193409,,151,0,0,105,0,6,33,0,64,20200111,20200930
I-85NB(103.5) AT STEVE REYNOLDS N1C109-AID,0,0,,55,21,0,0,0,2,0,0,11,20200101,20200930
I-85 NB(103.5) AT STEVE REYNOLDS N2C109-AID,0,0,,30,5,0,19,0,0,8,0,17,20200101,20200930
GDOT-CAM-020-AID,0,0,,292,117,0,435,0,0,2926,65,3478,20200101,20200930
I-85 SB(104.24) S OF STEVE REYNOLDS - N2C110-AID,0,0,,118,5,0,1,0,3,0,0,20,20200420,20200930
I-85 SB(105.22) S OF PLEASANT HILL RD - N1C111-AID,0,0,,743,13,0,9,0,2,10,3,18,20200101,20200930
I-85 NB(104.24) SOUTH OF PLEASANT HILL RD N1C121-AID,0,0,,105,11,0,2,0,1,2,0,51,20200101,20200930
I-85 NB(104.51) AT PLEASANT HILL RD N2C121-AID,0,0,,18,1,0,9,0,5,7,0,48,20200101,20200930
I-85 NB(101.0) AT INDIAN TRAIL - N3C104-AID,0,0,,321,77,0,50,0,9,19,0,17,20200101,20200930
I-85 NB(101.0) AT INDIAN TRAIL N4C103-AID,0,0,,238,24,0,15,0,1,9,1,17,20200505,20200930
I-675 NB(0.45) S OF SR 138 GDOT-CAM-773,0,0,,54,4,0,0,5,254,0,15265,74,20200123,20200930
I-85 NB(100.3) S OF INDIAN TRAIL - N2C103,33.92506,-84.182305,,300,100,0,71,0,3,152,0,8,20200101,20200930
I-75 SB(226.78)  S OF I-675 GDOT-CAM-734,0,0,,71,32,0,1,0,193,3,5021,2,20200307,20200930
I-75 NB(222.98) N OF JODECO RD GDOT-CAM-744,0,0,,10,3,0,2,0,0,0,109,2078,20200124,20200930
I-75 NB(216.38) RAMP FROM SR 155 GDOT-CAM-760,0,0,,189,189,0,134,0,384,269,10182,80,20200124,20200930
I-75 SB(225.59) N OF HUDSON BRDG GDOT-CAM-737,0,0,,210,332,0,0,0,0,0,125,6659,20200124,20200930
