streamDictionary.streamName,streamDictionary.streamSrc,latitude,longitude
I-44 & I-240 N,https://stream.oktraffic.org/delay-stream/ae9692ba1a6dc8ca.stream/playlist.m3u8,35.39637,-97.57406
I-44 & I-240 S,https://stream.oktraffic.org/delay-stream/66d848a449b2f008.stream/playlist.m3u8,35.39637,-97.57406
I-44 & I-240 E,https://stream.oktraffic.org/delay-stream/befd2e64345293b7.stream/playlist.m3u8,35.39637,-97.57406
I-44 & S59th E,https://stream.oktraffic.org/delay-stream/d0731f8bc0ab1765.stream/playlist.m3u8,35.40667,-97.57711
I-44 & Airport Rd W,https://stream.oktraffic.org/delay-stream/313f6379137283d4.stream/playlist.m3u8,35.41717,-97.58037
I-44 & Airport Rd N,https://stream.oktraffic.org/delay-stream/e9496cf3a12dcacc.stream/playlist.m3u8,35.41717,-97.58037
I-44 & Airport Rd S,https://stream.oktraffic.org/delay-stream/4cd3343c2a986382.stream/playlist.m3u8,35.41717,-97.58037
I-44 & Airport Rd,https://stream.oktraffic.org/delay-stream/b5e1062d5da5f024.stream/playlist.m3u8,35.41717,-97.58037
I-44 & S29th N,https://stream.oktraffic.org/delay-stream/6d9cf6d67658735c.stream/playlist.m3u8,35.43513,-97.56993
I-44 & S29th E,https://stream.oktraffic.org/delay-stream/d86bf0fd96420843.stream/playlist.m3u8,35.43513,-97.56993
I-44 & S29th,https://stream.oktraffic.org/delay-stream/1caeceea378b2f11.stream/playlist.m3u8,35.43513,-97.56993
I-44 & I-40 N,https://stream.oktraffic.org/delay-stream/d5f58ec3cb2e7d0e.stream/playlist.m3u8,35.45988315,-97.57485429
I-44 & I-40 S,https://stream.oktraffic.org/delay-stream/a46033f77eaf69a4.stream/playlist.m3u8,35.45988315,-97.57485429
I-44 & I-40 E,https://stream.oktraffic.org/delay-stream/a67b6702e3282201.stream/playlist.m3u8,35.45988315,-97.57485429
I-44 & N10th N,https://stream.oktraffic.org/delay-stream/8b211e44635f21e9.stream/playlist.m3u8,35.47842,-97.57879
I-44 & N10th S,https://stream.oktraffic.org/delay-stream/430f8b3475f82103.stream/playlist.m3u8,35.47842,-97.57879
I-44 & N10th E,https://stream.oktraffic.org/delay-stream/deeb408fca52c177.stream/playlist.m3u8,35.47842,-97.57879
I-44 & N10th W,https://stream.oktraffic.org/delay-stream/7e2b7a47a7cec825.stream/playlist.m3u8,35.47842,-97.57879
I-44 & N23rd N,https://stream.oktraffic.org/delay-stream/186a4cc4c041da78.stream/playlist.m3u8,35.4932,-97.57904
I-44 & N23rd S,https://stream.oktraffic.org/delay-stream/a2d4285d0cdd0ee5.stream/playlist.m3u8,35.4932,-97.57904
I-44 & N23rd E,https://stream.oktraffic.org/delay-stream/d478eadae9464ecc.stream/playlist.m3u8,35.4932,-97.57904
I-44 & SH-66 N,https://stream.oktraffic.org/delay-stream/eeb932a2e71dda53.stream/playlist.m3u8,35.51097978,-97.57564991
I-44 & SH-66 W,https://stream.oktraffic.org/delay-stream/591b4b976370cc24.stream/playlist.m3u8,35.51097978,-97.57564991
I-44 & SH-66 E,https://stream.oktraffic.org/delay-stream/c4c014f4c976b191.stream/playlist.m3u8,35.51097978,-97.57564991
I-44 & SH-66 S,https://stream.oktraffic.org/delay-stream/aff63a42e1872a38.stream/playlist.m3u8,35.51097978,-97.57564991
SH-74 & SH-3 N,https://stream.oktraffic.org/delay-stream/89201d32ad67d937.stream/playlist.m3u8,35.53269025,-97.57983148
SH-74 & SH-3 S,https://stream.oktraffic.org/delay-stream/d7c139e91ee71363.stream/playlist.m3u8,35.53269025,-97.57983148
SH-74 & SH-3 E,https://stream.oktraffic.org/delay-stream/0c65d024aa51dfc5.stream/playlist.m3u8,35.53269025,-97.57983148
SH-74 & SH-3 W,https://stream.oktraffic.org/delay-stream/b7efabe353a74d3a.stream/playlist.m3u8,35.53269025,-97.57983148
SH-74 & SH-3,https://stream.oktraffic.org/delay-stream/a323f01220e66c72.stream/playlist.m3u8,35.53269025,-97.57983148
SH-74 & Britton N,https://stream.oktraffic.org/delay-stream/f3884e4047227e7f.stream/playlist.m3u8,35.56558,-97.57484
SH-74 & Britton S,https://stream.oktraffic.org/delay-stream/959eaa7c9e1f370a.stream/playlist.m3u8,35.56558,-97.57484
SH-74 & Britton E,https://stream.oktraffic.org/delay-stream/029d507be284a197.stream/playlist.m3u8,35.56558,-97.57484
SH-74 & Hefner S,https://stream.oktraffic.org/delay-stream/9f9f96fb980728c6.stream/playlist.m3u8,35.58018,-97.57991
SH-74 & Hefner,https://stream.oktraffic.org/delay-stream/4a0b3f46660597bf.stream/playlist.m3u8,35.58018,-97.57991
SH-74 & Memorial S,https://stream.oktraffic.org/delay-stream/0129289c2d653de6.stream/playlist.m3u8,35.60948,-97.58505
SH-74 & Memorial E,https://stream.oktraffic.org/delay-stream/9cecdcf6a8862a68.stream/playlist.m3u8,35.60948,-97.58505
SH-74 & Memorial W,https://stream.oktraffic.org/delay-stream/b74532d2a2591c01.stream/playlist.m3u8,35.60948,-97.58505
SH-74 & Memorial,https://stream.oktraffic.org/delay-stream/62e4678a845f50d4.stream/playlist.m3u8,35.60948,-97.58505
I-40 & Meridian N,https://stream.oktraffic.org/delay-stream/f3dc1416f3d63e56.stream/playlist.m3u8,35.45997,-97.60125
I-40 & Meridian S,https://stream.oktraffic.org/delay-stream/808232546519980a.stream/playlist.m3u8,35.45997,-97.60125
I-40 & Meridian E,https://stream.oktraffic.org/delay-stream/2107674d0266df18.stream/playlist.m3u8,35.45997,-97.60125
I-40 & Meridian W,https://stream.oktraffic.org/delay-stream/18b922656c564b61.stream/playlist.m3u8,35.45997,-97.60125
I-40 & May E,https://stream.oktraffic.org/delay-stream/d88b358ca1a2a392.stream/playlist.m3u8,35.461165,-97.566121
I-40 & May W,https://stream.oktraffic.org/delay-stream/135b41cdcc444367.stream/playlist.m3u8,35.461165,-97.566121
I-40 & May N,https://stream.oktraffic.org/delay-stream/909f82afa7f4498b.stream/playlist.m3u8,35.461165,-97.566121
I-40 & May S,https://stream.oktraffic.org/delay-stream/23a408bb307520f8.stream/playlist.m3u8,35.461165,-97.566121
I-40 & May,https://stream.oktraffic.org/delay-stream/8f010d91dfdbaa76.stream/playlist.m3u8,35.461165,-97.566121
I-40 & Agnew N,https://stream.oktraffic.org/delay-stream/52c08b507c132935.stream/playlist.m3u8,35.461126,-97.55554
I-40 & Agnew E,https://stream.oktraffic.org/delay-stream/c6d6467368d683ee.stream/playlist.m3u8,35.461126,-97.55554
I-40 & Agnew S,https://stream.oktraffic.org/delay-stream/c0c9952843ab8a30.stream/playlist.m3u8,35.461126,-97.55554
I-40 & Penn W,https://stream.oktraffic.org/delay-stream/1daa5eba31d1b44f.stream/playlist.m3u8,35.461465,-97.546838
I-40 & Penn,https://stream.oktraffic.org/delay-stream/113334a05cda2b28.stream/playlist.m3u8,35.461465,-97.546838
I-40 & Western W,https://stream.oktraffic.org/delay-stream/4eca635c938336ac.stream/playlist.m3u8,35.458261,-97.531872
I-40 & Western E,https://stream.oktraffic.org/delay-stream/fec374c1d676eccd.stream/playlist.m3u8,35.458261,-97.531872
I-35 & N12th N,https://stream.oktraffic.org/delay-stream/7c63c0e989e6b4f4.stream/playlist.m3u8,35.34903757,-97.49519134
I-35 & N12th S,https://stream.oktraffic.org/delay-stream/8104546d69f57ba9.stream/playlist.m3u8,35.34903757,-97.49519134
I-35 & N12th W,https://stream.oktraffic.org/delay-stream/173118b272df96e7.stream/playlist.m3u8,35.34903757,-97.49519134
I-35 & N27th N,https://stream.oktraffic.org/delay-stream/ded9c8f4de0f997b.stream/playlist.m3u8,35.36284253,-97.49503711
I-35 & N27th E,https://stream.oktraffic.org/delay-stream/786955f80e59d724.stream/playlist.m3u8,35.36284253,-97.49503711
